record_id,source,legal_name,country,reg_number,name_core,legal_form,country_iso3,reg_number_norm,dedup_hash
C001,registry,Acme Industries GmbH,DE,HRB12345,acme industries,gmbh,DEU,HRB12345,2f282d1cd6862a28
C002,wires,Acme Industries G.m.b.H.,Germany,HRB 12345,acme industries,gmbh,DEU,HRB12345,2f282d1cd6862a28
C003,kyc,ACME INDUSTRIES GMBH,DEU,HRB-12345,acme industries,gmbh,DEU,HRB12345,2f282d1cd6862a28
C004,registry,Bright Future Ltd,GB,09876543,bright future,ltd,GBR,09876543,0812453e0b856274
C005,wires,Bright Future Limited,United Kingdom,09876543,bright future,ltd,GBR,09876543,0812453e0b856274
C006,registry,Apex Corporation,US,,apex,corp,USA,,caa3bc61f23a49e0
C007,wires,Apex Corp.,USA,,apex,corp,USA,,caa3bc61f23a49e0
C008,kyc,Apex Corp,U.S.A.,,apex,corp,USA,,caa3bc61f23a49e0
C009,registry,Smith & Sons Trading,GB,11223344,smith and sons trading,,GBR,11223344,e08ae90b919501f8
C010,wires,Smith and Sons Trading,UK,11223344,smith and sons trading,,GBR,11223344,e08ae90b919501f8
