record_id,data_source,icij_source,node_type,primary_name,jurisdiction,status,incorporated,inactivated,struck_off,company_type,countries,address,address_type,notes
10000227,ICIJ,Panama Papers,ENTITY,SILVERWING PROPERTIES S.A.,SAM,Active,29-SEP-2006,,,,SAM;GBR,A MALIDA CHARTERED ACCS [Mr Arif Malida] 66 Moyser Road London Sw16 6Sq E15 2BY,BUSINESS,
10000448,ICIJ,Panama Papers,ENTITY,Hawthorn Holdings Ltd.,SAM,Active,10-JUN-2011,,,,SAM;GBR,A1 COMPANY SERVICES LIMITED 788-790 FINCHLEY ROAD LONDON NW11 7TJ ENGLAND UNITED KINGDOM,BUSINESS,
10000449,ICIJ,Panama Papers,ENTITY,Acanthus Investments Ltd,SAM,Active,10-JUN-2011,,,,SAM;GBR,A1 COMPANY SERVICES LIMITED 788-790 FINCHLEY ROAD LONDON NW11 7TJ ENGLAND UNITED KINGDOM,BUSINESS,
10000538,ICIJ,Panama Papers,ENTITY,XURAN INC.,PMA,Dissolved,07-JUN-1983,,07-SEP-1984,,PMA;GBR,"BAKER & MCKENZIE 100 NEW BRIDGE STREET LONDON EC4V 6JA ENGLAND, UNITED KINGDOM",BUSINESS,
10000588,ICIJ,Panama Papers,ENTITY,DANA INTERNATIONAL HOLDINGS INC.,PMA,Inactivated,03-AUG-1988,14-JUN-1991,03-NOV-1989,,PMA;GBR,"KIDD RAPINET 14 & 15 CRAVEN STREET LONDON WC2N 5AD ENGLAND, UNITED KINGDOM",BUSINESS,
10000856,ICIJ,Panama Papers,ENTITY,HILLSBERRY INC.,PMA,Changed agent,22-FEB-1988,12-APR-1991,22-MAY-1989,,PMA;GBR,"STONEHAGE LIMITED (LONDON) 8 QUEEN ANNE STREET LONDON, W1M 9LD ENGLAND",BUSINESS,
10000935,ICIJ,Panama Papers,ENTITY,KARISE LIMITED,SAM,Dissolved,06-SEP-2006,24-JAN-2014,15-FEB-2015,,SAM;GBR,HAROLD BENJAMIN SOLICITORS 48 QUEEN ANNE STREET LONDON W1G 9JJ ENGLAND,BUSINESS,
10001138,ICIJ,Panama Papers,ENTITY,MITSUI PROPERTIES INC.,PMA,Bad debt account,19-FEB-1988,15-JUL-1992,19-MAY-1989,,PMA;GBR,"HALPERN AND WOOLF (LONDON) 301-305 EUSTON ROAD LONDON NW1 3SS ENGLAND, UNITED KINGDOM",BUSINESS,
10001367,ICIJ,Panama Papers,ENTITY,SOVEREIGN GOLD PROPERTIES S.A.,SAM,Defaulted,07-DEC-2006,20-FEB-2010,15-FEB-2010,,SAM;GBR,MR T SAVOSTINA Large Laboratory Fairfax House 15 Fulwood Place London WC1V 6AY,BUSINESS,
10001452,ICIJ,Panama Papers,ENTITY,Acacia Capital Inc,SAM,Active,10-JUN-2011,,,,SAM;GBR,A1 COMPANY SERVICES LIMITED 788-790 FINCHLEY ROAD LONDON NW11 7TJ ENGLAND UNITED KINGDOM,BUSINESS,
10001709,ICIJ,Panama Papers,ENTITY,RIVERGRANGE TRADING COMPANY INC.,SAM,Defaulted,13-OCT-2006,16-FEB-2009,15-FEB-2009,,SAM;GBR,A MALIDA CHARTERED ACCS [Mr Arif Malida] 66 Moyser Road London Sw16 6Sq E15 2BY,BUSINESS,
10001935,ICIJ,Panama Papers,ENTITY,WANLISSA CORP.,PMA,Defaulted,17-JAN-1989,31-JAN-2000,17-APR-2000,,PMA;GBR,PETER T. JAMES & CO. 2 CARLOS PLACE MOUNT STREET LONDON W1Y 5AE ENGLAND,BUSINESS,
10002181,ICIJ,Panama Papers,ENTITY,VLIDER CORP.,PMA,Changed agent,05-AUG-1985,22-NOV-1993,05-NOV-1986,,PMA;GBR,HAROLD BENJAMIN SOLICITORS 48 QUEEN ANNE STREET LONDON W1G 9JJ ENGLAND,BUSINESS,
