anchor_record_id,anchor_domain,pointer_record_id,pointer_domain,relationship_role,rel_type,from_date,thru_date
10001935,ICIJ_ID,14104355,ICIJ_ID,registered address,ADDRESS,,
10006464,ICIJ_ID,14093957,ICIJ_ID,registered address,ADDRESS,,
10007086,ICIJ_ID,14093957,ICIJ_ID,registered address,ADDRESS,,
10010428,ICIJ_ID,14093957,ICIJ_ID,registered address,ADDRESS,,
10010758,ICIJ_ID,14098838,ICIJ_ID,registered address,ADDRESS,,
10012825,ICIJ_ID,14093957,ICIJ_ID,registered address,ADDRESS,,
10012916,ICIJ_ID,14093957,ICIJ_ID,registered address,ADDRESS,,
10016246,ICIJ_ID,14097879,ICIJ_ID,registered address,ADDRESS,,
10016950,ICIJ_ID,14096177,ICIJ_ID,registered address,ADDRESS,,
10017875,ICIJ_ID,14098997,ICIJ_ID,registered address,ADDRESS,,
10021383,ICIJ_ID,14098998,ICIJ_ID,registered address,ADDRESS,,
10034617,ICIJ_ID,14107495,ICIJ_ID,registered address,ADDRESS,,
10034896,ICIJ_ID,14098837,ICIJ_ID,registered address,ADDRESS,,
10037342,ICIJ_ID,14091671,ICIJ_ID,registered address,ADDRESS,,
10038462,ICIJ_ID,10163220,ICIJ_ID,same name and registration date as,LINK,,
10038462,ICIJ_ID,14100258,ICIJ_ID,registered address,ADDRESS,,
10041430,ICIJ_ID,14098772,ICIJ_ID,registered address,ADDRESS,,
10046347,ICIJ_ID,14108645,ICIJ_ID,registered address,ADDRESS,,
10051202,ICIJ_ID,14091845,ICIJ_ID,registered address,ADDRESS,,
10056492,ICIJ_ID,14101255,ICIJ_ID,registered address,ADDRESS,,
10056518,ICIJ_ID,14104191,ICIJ_ID,registered address,ADDRESS,,
10057810,ICIJ_ID,14093957,ICIJ_ID,registered address,ADDRESS,,
10057891,ICIJ_ID,14093957,ICIJ_ID,registered address,ADDRESS,,
10058745,ICIJ_ID,14093957,ICIJ_ID,registered address,ADDRESS,,
10064162,ICIJ_ID,14093957,ICIJ_ID,registered address,ADDRESS,,
10064908,ICIJ_ID,14103351,ICIJ_ID,registered address,ADDRESS,,
10066116,ICIJ_ID,14093957,ICIJ_ID,registered address,ADDRESS,,
10066861,ICIJ_ID,14098704,ICIJ_ID,registered address,ADDRESS,,
10071893,ICIJ_ID,14098529,ICIJ_ID,registered address,ADDRESS,,
10073052,ICIJ_ID,10208006,ICIJ_ID,same name and registration date as,LINK,,
10077287,ICIJ_ID,14104771,ICIJ_ID,registered address,ADDRESS,,
10080192,ICIJ_ID,14103839,ICIJ_ID,registered address,ADDRESS,,
10080877,ICIJ_ID,14095194,ICIJ_ID,registered address,ADDRESS,,
